index,Title,Release Date,Year,IMDb Rating,Runtime (mins),Genres,Directors
46,Anacondas: The Hunt for the Blood Orchid,25-08-2004,2004,4.7,97,"Action, Adventure, Horror, Thriller",Dwight H. Little
47,Analyze This,05-03-1999,1999,6.7,103,"Comedy, Crime",Harold Ramis
48,Analyze That,06-12-2002,2002,5.9,96,"Comedy, Crime",Harold Ramis
49,Anchorman: The Legend of Ron Burgundy,28-06-2004,2004,7.2,94,Comedy,Adam McKay
50,Anchorman 2: The Legend Continues,24-11-2013,2013,6.3,119,Comedy,Adam McKay
51,Angry Birds,01-05-2016,2016,6.3,97,"Animation, Action, Adventure, Comedy, Family","Fergal Reilly, Clay Kaytis"
52,The Angry Birds 2,02-08-2019,2019,6.4,97,"Animation, Adventure, Comedy, Family","John Rice, Thurop Van Orman"
53,Annabelle,29-09-2014,2014,5.4,99,"Horror, Mystery, Thriller",John R. Leonetti
54,Annabelle: Creation,19-06-2017,2017,6.5,109,"Horror, Mystery, Thriller",David F. Sandberg
55,Annabelle Comes Home,17-06-2019,2019,5.9,106,"Horror, Mystery, Thriller",Gary Dauberman
56,Army of Darkness,09-10-1992,1992,7.5,81,"Comedy, Horror",Sam Raimi
57,Atlas Shrugged: Part I,15-04-2011,2011,5.6,97,"Drama, Mystery, Sci-Fi",Paul Johansson
58,Atlas Shrugged II: The Strike,12-10-2012,2012,5.4,111,"Drama, Mystery, Sci-Fi",John Putch
59,Austin Powers 4,,,,,Comedy,
60,International Man of Mystery,29-04-1997,1997,7,94,"Adventure, Comedy",Jay Roach
61,The Spy Who Shagged Me,08-06-1999,1999,6.6,95,"Action, Adventure, Comedy, Crime",Jay Roach
62,Austin Powers in Goldmember,22-07-2002,2002,6.2,94,"Action, Adventure, Comedy, Crime",Jay Roach
63,Back to the Future,03-07-1985,1985,8.5,116,"Adventure, Comedy, Sci-Fi",Robert Zemeckis
64,Back to the Future Part II,20-11-1989,1989,7.8,108,"Adventure, Comedy, Sci-Fi",Robert Zemeckis
65,Back to the Future Part III,25-05-1990,1990,7.4,118,"Adventure, Comedy, Sci-Fi, Western",Robert Zemeckis
66,Bad Ass,13-04-2012,2012,5.5,90,"Action, Comedy, Crime, Drama",Craig Moss
67,Bad Boys,06-04-1995,1995,6.9,119,"Action, Comedy, Crime, Thriller",Michael Bay
68,Bad Boys II,09-07-2003,2003,6.6,147,"Action, Comedy, Crime, Thriller",Michael Bay
69,Bad Boys for Life,07-01-2020,2020,6.7,124,"Action, Comedy, Crime, Thriller","Bilall Fallah, Adil El Arbi"
70,Bad Lieutenant,14-05-1992,1992,7.1,96,"Crime, Drama, Thriller",Abel Ferrara
71,Port of Call,04-09-2009,2009,6.6,122,"Crime, Drama",Werner Herzog
72,Bad Santa,18-11-2003,2003,7,92,"Comedy, Crime, Drama",Terry Zwigoff
73,Bad Santa 2,23-11-2016,2016,5.6,92,"Comedy, Crime, Drama",Mark Waters
74,Balto,22-12-1995,1995,7.1,78,"Animation, Adventure, Drama, Family, History",Simon Wells
75,Bambi,08-08-1942,1942,7.3,70,"Animation, Drama, Family","Samuel Armstrong, Paul Satterfield, James Algar, Graham Heid, David Hand, Clyde Geronimi, Arthur Davis, Norman Wright, Bill Roberts"
76,Banlieue 13,10-11-2004,2004,7.2,84,"Action, Crime, Sci-Fi, Thriller",Pierre Morel
77,Banlieue 13: Ultimatum,18-02-2009,2009,6.5,101,"Action, Crime, Thriller",Patrick Alessandrin
78,Basic Instinct,20-03-1992,1992,7,127,"Drama, Mystery, Thriller",Paul Verhoeven
79,Basic Instinct 2,21-03-2006,2006,4.3,114,"Drama, Mystery, Thriller",Michael Caton-Jones
80,Batman,19-06-1989,1989,7.5,126,"Action, Adventure",Tim Burton
81,Batman Returns,16-06-1992,1992,7,126,"Action, Crime, Fantasy",Tim Burton
82,Batman Forever,09-06-1995,1995,5.4,121,"Action, Adventure",Joel Schumacher
83,Batman & Robin,12-06-1997,1997,3.7,125,"Action, Sci-Fi",Joel Schumacher
84,Batman Begins,31-05-2005,2005,8.2,140,"Action, Adventure",Christopher Nolan
85,The Dark Knight,14-07-2008,2008,9,152,"Action, Crime, Drama, Thriller",Christopher Nolan
86,The Dark Knight Rises,16-07-2012,2012,8.4,164,"Action, Adventure",Christopher Nolan
87,Batman v Superman: Dawn of Justice,12-03-2016,2016,6.5,151,"Action, Adventure, Sci-Fi",Zack Snyder
88,Battle for the Planet of the Apes,15-06-1973,1973,5.5,93,"Action, Sci-Fi",J. Lee Thompson
89,Beauty and the Beast,29-09-1991,1991,8,84,"Animation, Family, Fantasy, Musical, Romance","Kirk Wise, Gary Trousdale"
90,Before Sunrise,19-01-1995,1995,8.1,101,"Drama, Romance",Richard Linklater
91,Before Sunset,10-02-2004,2004,8,80,"Drama, Romance",Richard Linklater
92,Before Midnight,20-01-2013,2013,7.9,109,"Drama, Romance",Richard Linklater
93,Behind Enemy Lines,17-11-2001,2001,6.4,106,"Action, Drama, Thriller, War",John Moore
94,Beneath the Planet of the Apes,23-04-1970,1970,6.1,95,"Action, Adventure, Sci-Fi",Ted Post
95,Beverly Hills Chihuahua,18-09-2008,2008,3.8,91,"Adventure, Comedy, Drama, Family, Romance",Raja Gosnell
96,Beverly Hills Cop,01-12-1984,1984,7.3,105,"Action, Comedy, Crime, Thriller",Martin Brest
97,Beverly Hills Cop II,19-05-1987,1987,6.5,100,"Action, Comedy, Crime, Thriller",Tony Scott
98,Beverly Hills Cop III,25-05-1994,1994,5.6,104,"Action, Comedy, Crime, Thriller",John Landis
99,Big Momma's House,31-05-2000,2000,5.2,99,"Action, Comedy, Crime",Raja Gosnell
100,Big Momma's House 2,26-01-2006,2006,4.7,99,"Comedy, Crime",John Whitesell
